amfi_code,date,nav
100016,2022-01-02,512.1124
100016,2022-01-03,503.1674
100016,2022-01-04,531.285
100016,2022-01-06,474.1732
100016,2022-01-07,452.584
100016,2022-01-08,433.0211
100016,2022-01-09,424.3603
100016,2022-01-11,448.4277
100016,2022-01-12,482.4201
100016,2022-02-02,515.5386
100016,2022-02-03,504.7495
100016,2022-02-05,524.0515
100016,2022-02-06,473.1602
100016,2022-02-08,423.7137
100016,2022-02-09,418.068
100016,2022-02-11,453.5279
100016,2022-02-12,480.9949
100016,2022-03-01,520.4608
100016,2022-03-02,512.0153
100016,2022-03-03,505.6316
100016,2022-03-05,515.5881
100016,2022-03-06,470.7754
100016,2022-03-08,423.3646
100016,2022-03-10,430.3701
100016,2022-03-11,455.1164
100016,2022-04-01,515.0971
100016,2022-04-02,513.6729
100016,2022-04-03,504.6233
100016,2022-04-04,534.7762
100016,2022-04-05,522.4674
100016,2022-04-07,443.3196
100016,2022-04-08,427.5619
100016,2022-04-10,428.3154
100016,2022-04-11,452.9791
100016,2022-05-01,521.7239
100016,2022-05-04,531.2213
100016,2022-05-05,517.1078
100016,2022-05-07,449.0289
100016,2022-05-08,424.424
100016,2022-05-09,415.1206
100016,2022-05-10,432.9656
100016,2022-05-12,483.5309
100016,2022-06-01,515.788
100016,2022-06-04,532.3217
100016,2022-06-05,514.6837
100016,2022-06-06,476.2119
100016,2022-06-07,451.9322
100016,2022-06-09,417.805
100016,2022-06-10,426.8679
100016,2022-06-12,485.0894
100016,2022-07-01,515.1639
100016,2022-07-02,508.0666
100016,2022-07-03,504.411
100016,2022-07-04,526.7582
100016,2022-07-06,481.6458
100016,2022-07-07,446.2213
100016,2022-07-09,418.6355
100016,2022-07-10,421.495
100016,2022-07-11,457.1295
100016,2022-07-12,481.0854
100016,2022-08-02,510.3595
100016,2022-08-03,518.6513
100016,2022-08-04,525.7986
100016,2022-08-06,480.4735
100016,2022-08-07,440.6669
100016,2022-08-08,423.1925
100016,2022-08-09,423.2368
100016,2022-08-11,457.3685
100016,2022-08-12,483.5409
100016,2022-09-02,509.0223
100016,2022-09-03,517.7387
100016,2022-09-05,516.5793
100016,2022-09-06,473.1759
100016,2022-09-08,422.7537
100016,2022-09-09,424.9639
100016,2022-09-11,460.3808
100016,2022-09-12,487.4889
100016,2022-10-01,510.7136
100016,2022-10-02,509.4161
100016,2022-10-03,520.3416
100016,2022-10-05,511.4204
100016,2022-10-06,471.0598
100016,2022-10-08,412.293
100016,2022-10-10,422.2208
100016,2022-10-11,451.9519
100016,2022-11-01,513.5542
100016,2022-11-02,512.826
100016,2022-11-03,517.6372
100016,2022-11-04,526.2264
100016,2022-11-05,504.9889
100016,2022-11-07,447.4448
100016,2022-11-08,418.6311
100016,2022-11-10,422.5333
100016,2022-11-11,453.9711
100016,2022-12-01,512.3195
100016,2022-12-04,527.7466
100016,2022-12-05,495.8735
100016,2022-12-07,444.7739
100016,2022-12-08,415.5307
100016,2022-12-09,421.5737
100016,2022-12-10,420.0881
100016,2022-12-12,488.4785
100016,2023-01-02,487.5779
100016,2023-01-03,508.6667
100016,2023-01-05,571.1134
100016,2023-01-06,565.0931
100016,2023-01-08,575.2193
100016,2023-01-09,576.8994
100016,2023-01-11,578.126
100016,2023-01-12,578.1473
100016,2023-02-01,470.8644
100016,2023-02-02,484.0122
100016,2023-02-03,512.7785
100016,2023-02-05,565.6753
100016,2023-02-06,563.6716
100016,2023-02-08,569.2005
100016,2023-02-10,582.5895
100016,2023-02-11,582.6704
100016,2023-03-01,472.9663
100016,2023-03-02,478.2065
100016,2023-03-03,514.5893
100016,2023-03-04,567.2319
100016,2023-03-05,566.404
100016,2023-03-07,576.7654
100016,2023-03-08,561.849
100016,2023-03-10,580.8402
100016,2023-03-11,579.7325
100016,2023-04-01,474.0441
100016,2023-04-04,561.1622
100016,2023-04-05,567.8622
100016,2023-04-07,576.8293
100016,2023-04-08,570.0239
100016,2023-04-09,573.398
100016,2023-04-10,581.8024
100016,2023-04-12,575.5467
100016,2023-05-01,478.8877
100016,2023-05-04,557.0355
100016,2023-05-05,564.5686
100016,2023-05-06,563.3934
100016,2023-05-07,577.0426
100016,2023-05-09,575.8066
100016,2023-05-10,581.7779
100016,2023-05-12,574.0293
100016,2023-06-01,481.1631
100016,2023-06-02,478.7459
100016,2023-06-03,521.7123
100016,2023-06-04,550.7921
100016,2023-06-06,564.4191
100016,2023-06-07,580.8301
100016,2023-06-09,582.0642
100016,2023-06-10,578.7012
100016,2023-06-11,581.5232
100016,2023-06-12,587.8432
100016,2023-07-02,482.6505
100016,2023-07-03,522.3246
100016,2023-07-04,557.6109
100016,2023-07-06,560.929
100016,2023-07-07,584.1654
100016,2023-07-08,567.2493
100016,2023-07-09,582.2461
100016,2023-07-11,579.9607
100016,2023-07-12,589.7144
100016,2023-08-02,475.7347
100016,2023-08-03,527.3425
100016,2023-08-05,561.939
100016,2023-08-06,562.2606
100016,2023-08-08,573.2563
100016,2023-08-09,589.1525
100016,2023-08-11,579.3189
100016,2023-08-12,588.0119
100016,2023-09-01,477.7684
100016,2023-09-02,479.4358
100016,2023-09-03,540.0526
100016,2023-09-05,563.3736
100016,2023-09-06,570.1945
100016,2023-09-08,572.7737
100016,2023-09-10,584.0455
100016,2023-09-11,567.0393
100016,2023-10-01,487.2879
100016,2023-10-02,483.1532
100016,2023-10-03,543.1889
100016,2023-10-04,565.5706
100016,2023-10-05,558.0581
100016,2023-10-07,583.3333
100016,2023-10-08,572.2513
100016,2023-10-10,584.996
100016,2023-10-11,566.2233
100016,2023-11-01,488.3757
100016,2023-11-04,567.4627
100016,2023-11-05,560.0718
100016,2023-11-07,583.962
100016,2023-11-08,574.7646
100016,2023-11-09,595.1135
100016,2023-11-10,582.8431
100016,2023-11-12,576.9838
100016,2023-12-01,487.9931
100016,2023-12-04,573.9037
100016,2023-12-05,555.9534
100016,2023-12-06,566.5874
100016,2023-12-07,582.3508
100016,2023-12-09,589.7951
100016,2023-12-10,576.473
100016,2023-12-12,584.4006
100016,2024-01-01,595.6357
100016,2024-01-02,617.8723
